Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Power_W,Temp_Diff_K,Strain_Load,Machine failure,UDI,Product ID,TWF,HDF,PWF,OSF,RNF
L,298.4,309.1,1798,29.6,81,5573.26914327239,10.700000000000044,2397.6,0,1539,S51538,0.0,0.0,0.0,0.0,0.0
M,298.5,309.2,1449,46.4,83,7040.686127813157,10.699999999999989,3851.2,0,1540,S51539,0.0,0.0,0.0,0.0,0.0
M,298.4,309.1,1525,39.3,86,6276.1167237090085,10.700000000000044,3379.8,0,1541,S51540,0.0,0.0,0.0,0.0,0.0
L,298.4,309.0,2304,15.1,89,3643.242168515011,10.600000000000025,1343.9,0,1542,S51541,0.0,0.0,0.0,0.0,0.0
L,298.3,308.9,1379,54.7,91,7899.147264357593,10.599999999999966,4977.7,0,1543,S51542,0.0,0.0,0.0,0.0,0.0
L,298.4,308.9,1628,34.9,93,5949.8832705847335,10.5,3245.7,0,1544,S51543,0.0,0.0,0.0,0.0,0.0
L,298.4,309.0,1474,52.7,95,8134.609633744148,10.600000000000025,5006.5,0,1545,S51544,0.0,0.0,0.0,0.0,0.0
M,298.4,309.0,1544,38.8,97,6273.467313904481,10.600000000000025,3763.6,0,1546,S51545,0.0,0.0,0.0,0.0,0.0
L,298.4,308.9,1391,48.4,100,7050.194681578023,10.5,4840.0,0,1547,S51546,0.0,0.0,0.0,0.0,0.0
L,298.3,308.9,1348,55.5,102,7834.503759522226,10.599999999999966,5661.0,0,1548,S51547,0.0,0.0,0.0,0.0,0.0
M,298.3,308.8,1349,52.1,104,7360.008077099536,10.5,5418.400000000001,0,1549,S51548,0.0,0.0,0.0,0.0,0.0
L,298.4,308.9,1706,29.5,107,5270.231115907117,10.5,3156.5,0,1550,S51549,0.0,0.0,0.0,0.0,0.0
L,298.4,308.9,1638,32.4,109,5557.603067906487,10.5,3531.6,0,1551,S51550,0.0,0.0,0.0,0.0,0.0
L,298.4,308.8,1458,40.1,111,6122.524258875003,10.400000000000034,4451.1,0,1552,S51551,0.0,0.0,0.0,0.0,0.0
L,298.5,308.9,1781,27.8,113,5184.86357153357,10.399999999999975,3141.4,0,1553,S51552,0.0,0.0,0.0,0.0,0.0
L,298.5,308.8,1332,59.1,115,8243.664786725762,10.300000000000011,6796.5,0,1554,S51553,0.0,0.0,0.0,0.0,0.0
M,298.4,308.7,1584,31.7,117,5258.272119872452,10.300000000000011,3708.9,0,1555,S51554,0.0,0.0,0.0,0.0,0.0
L,298.4,308.6,1491,42.0,120,6557.760505103333,10.200000000000044,5040.0,0,1556,S51555,0.0,0.0,0.0,0.0,0.0
H,298.4,308.5,1398,47.1,122,6895.356051658093,10.100000000000025,5746.2,0,1557,S51556,0.0,0.0,0.0,0.0,0.0
L,298.3,308.4,1585,30.6,127,5079.012843058618,10.099999999999966,3886.2,0,1558,S51557,0.0,0.0,0.0,0.0,0.0
M,298.2,308.3,1476,43.5,129,6723.636597212875,10.100000000000025,5611.5,0,1559,S51558,0.0,0.0,0.0,0.0,0.0
L,298.2,308.3,1458,41.8,132,6382.082643914592,10.100000000000025,5517.599999999999,0,1560,S51559,0.0,0.0,0.0,0.0,0.0
M,298.2,308.4,1510,39.9,134,6309.260526204381,10.199999999999989,5346.599999999999,0,1561,S51560,0.0,0.0,0.0,0.0,0.0
L,298.2,308.4,1388,53.8,137,7819.884881707521,10.199999999999989,7370.599999999999,0,1562,S51561,0.0,0.0,0.0,0.0,0.0
L,298.2,308.3,2216,16.8,139,3898.59081939879,10.100000000000025,2335.2000000000003,0,1563,S51562,0.0,0.0,0.0,0.0,0.0
L,298.2,308.3,1402,51.0,141,7487.671930565913,10.100000000000025,7191.0,0,1564,S51563,0.0,0.0,0.0,0.0,0.0
M,298.0,308.2,2090,19.0,143,4158.42147580169,10.199999999999989,2717.0,0,1565,S51564,0.0,0.0,0.0,0.0,0.0
L,298.0,308.2,1459,42.1,146,6432.29576649447,10.199999999999989,6146.6,0,1566,S51565,0.0,0.0,0.0,0.0,0.0
M,298.0,308.1,1403,44.8,148,6582.097376193142,10.100000000000025,6630.4,0,1567,S51566,0.0,0.0,0.0,0.0,0.0
L,298.1,308.2,1521,39.3,151,6259.654778204198,10.099999999999966,5934.299999999999,0,1568,S51567,0.0,0.0,0.0,0.0,0.0
L,298.2,308.2,1407,47.1,153,6939.746755853318,10.0,7206.3,0,1569,S51568,0.0,0.0,0.0,0.0,0.0
M,298.1,308.2,1654,35.3,155,6114.188566367478,10.099999999999966,5471.5,0,1570,S51569,0.0,0.0,0.0,0.0,0.0
L,298.2,308.4,1452,43.5,158,6614.309172867951,10.199999999999989,6873.0,0,1571,S51570,0.0,0.0,0.0,0.0,0.0
L,298.3,308.4,1528,37.3,160,5968.439611191936,10.099999999999966,5968.0,0,1572,S51571,0.0,0.0,0.0,0.0,0.0
L,298.2,308.3,1230,59.6,162,7676.795808312018,10.100000000000025,9655.2,0,1573,S51572,0.0,0.0,0.0,0.0,0.0
L,298.2,308.2,1466,42.4,164,6509.21242662986,10.0,6953.599999999999,0,1574,S51573,0.0,0.0,0.0,0.0,0.0
L,298.2,308.2,1478,50.1,166,7754.267483149542,10.0,8316.6,0,1575,S51574,0.0,0.0,0.0,0.0,0.0
L,298.2,308.3,2057,18.0,168,3877.3536530605215,10.100000000000025,3024.0,0,1576,S51575,0.0,0.0,0.0,0.0,0.0
L,298.3,308.4,1490,41.7,170,6506.552544849821,10.099999999999966,7089.000000000001,0,1577,S51576,0.0,0.0,0.0,0.0,0.0
L,298.3,308.4,1484,43.4,172,6744.538660334759,10.099999999999966,7464.8,0,1578,S51577,0.0,0.0,0.0,0.0,0.0
L,298.3,308.4,1593,37.0,174,6172.287086507867,10.099999999999966,6438.0,0,1579,S51578,0.0,0.0,0.0,0.0,0.0
L,298.3,308.3,1444,43.8,176,6623.2312960041445,10.0,7708.799999999999,0,1580,S51579,0.0,0.0,0.0,0.0,0.0
M,298.3,308.4,1444,47.5,178,7182.728003657463,10.099999999999966,8455.0,0,1581,S51580,0.0,0.0,0.0,0.0,0.0
M,298.2,308.3,1560,33.0,181,5390.972993560085,10.100000000000025,5973.0,0,1582,S51581,0.0,0.0,0.0,0.0,0.0
H,298.1,308.3,1530,42.0,184,6729.291463989337,10.199999999999989,7728.0,0,1583,S51582,0.0,0.0,0.0,0.0,0.0
L,298.2,308.4,1310,61.0,189,8368.155631612013,10.199999999999989,11529.0,1,1584,S51583,1.0,0.0,0.0,0.0,0.0
M,298.2,308.3,1639,33.3,191,5715.468098749375,10.100000000000025,6360.299999999999,0,1585,S51584,0.0,0.0,0.0,0.0,0.0
L,298.2,308.3,1400,48.7,194,7139.792904058403,10.100000000000025,9447.8,0,1586,S51585,0.0,0.0,0.0,0.0,0.0
M,298.3,308.4,1486,44.2,196,6878.119179965398,10.099999999999966,8663.2,0,1587,S51586,0.0,0.0,0.0,0.0,0.0
M,298.2,308.3,1448,43.3,199,6565.761094394476,10.100000000000025,8616.699999999999,0,1588,S51587,0.0,0.0,0.0,0.0,0.0
L,298.2,308.3,1688,32.0,202,5656.542292543542,10.100000000000025,6464.0,0,1589,S51588,0.0,0.0,0.0,0.0,0.0
M,298.1,308.3,1453,41.5,204,6314.548873837924,10.199999999999989,8466.0,0,1590,S51589,0.0,0.0,0.0,0.0,0.0
L,298.2,308.4,1497,37.7,207,5910.058347712727,10.199999999999989,7803.900000000001,0,1591,S51590,0.0,0.0,0.0,0.0,0.0
L,298.2,308.4,1355,49.4,209,7009.626248444666,10.199999999999989,10324.6,0,1592,S51591,0.0,0.0,0.0,0.0,0.0
L,298.1,308.4,1592,38.2,211,6368.469075749038,10.299999999999956,8060.200000000001,0,1593,S51592,0.0,0.0,0.0,0.0,0.0
L,298.0,308.3,1544,34.7,213,5610.5493760949885,10.300000000000011,7391.1,0,1594,S51593,0.0,0.0,0.0,0.0,0.0
M,298.0,308.2,1373,51.2,215,7361.547457499794,10.199999999999989,11008.0,0,1595,S51594,0.0,0.0,0.0,0.0,0.0
L,298.0,308.2,1365,52.9,218,7561.656437557952,10.199999999999989,11532.2,1,1596,S51595,1.0,0.0,0.0,1.0,0.0
L,298.0,308.1,1877,24.3,0,4776.383222738314,10.100000000000025,0.0,0,1597,S51596,0.0,0.0,0.0,0.0,0.0
L,297.9,308.1,1531,40.8,2,6541.298559598524,10.200000000000044,81.6,0,1598,S51597,0.0,0.0,0.0,0.0,0.0
L,297.9,308.0,1501,36.7,4,5768.665734350162,10.100000000000025,146.8,0,1599,S51598,0.0,0.0,0.0,0.0,0.0
L,297.9,308.0,1490,46.2,6,7208.698502927141,10.100000000000025,277.20000000000005,0,1600,S51599,0.0,0.0,0.0,0.0,0.0
M,297.8,307.8,1543,43.7,8,7061.15883993905,10.0,349.6,0,1601,S51600,0.0,0.0,0.0,0.0,0.0
L,297.8,307.8,1597,38.2,11,6388.470548976893,10.0,420.2000000000001,0,1602,S51601,0.0,0.0,0.0,0.0,0.0
H,297.8,307.9,1600,33.5,13,5612.978874413764,10.099999999999966,435.5,0,1603,S51602,0.0,0.0,0.0,0.0,0.0
M,297.8,307.8,1622,32.1,18,5452.35971401123,10.0,577.8000000000001,0,1604,S51603,0.0,0.0,0.0,0.0,0.0
L,297.8,307.8,1452,39.8,21,6051.7127604630905,10.0,835.8,0,1605,S51604,0.0,0.0,0.0,0.0,0.0
L,297.8,307.8,1396,42.5,23,6213.023071249414,10.0,977.5,0,1606,S51605,0.0,0.0,0.0,0.0,0.0
L,297.8,307.7,1505,39.7,25,6256.8482887669925,9.899999999999975,992.5,0,1607,S51606,0.0,0.0,0.0,0.0,0.0
L,297.8,307.8,1412,48.3,27,7141.845411258748,10.0,1304.1,0,1608,S51607,0.0,0.0,0.0,0.0,0.0
L,297.8,307.7,1393,38.0,29,5543.23551750407,9.899999999999975,1102.0,0,1609,S51608,0.0,0.0,0.0,0.0,0.0
L,297.7,307.7,1581,34.9,31,5778.111456261956,10.0,1081.9,0,1610,S51609,0.0,0.0,0.0,0.0,0.0
L,297.8,307.8,1573,37.9,33,6243.0462250422215,10.0,1250.7,0,1611,S51610,0.0,0.0,0.0,0.0,0.0
M,297.8,307.9,1726,27.3,35,4934.373917287345,10.099999999999966,955.5,0,1612,S51611,0.0,0.0,0.0,0.0,0.0
M,297.9,307.9,1540,39.8,38,6418.483230794187,10.0,1512.4,0,1613,S51612,0.0,0.0,0.0,0.0,0.0
L,297.9,308.0,1296,62.9,41,8536.586885746472,10.100000000000025,2578.9,0,1614,S51613,0.0,0.0,0.0,0.0,0.0
M,297.8,307.9,1802,25.8,43,4868.588967121174,10.099999999999966,1109.4,0,1615,S51614,0.0,0.0,0.0,0.0,0.0
L,297.8,307.9,1447,48.6,46,7364.333002985977,10.099999999999966,2235.6,0,1616,S51615,0.0,0.0,0.0,0.0,0.0
H,297.8,307.8,1662,30.7,48,5343.157953372448,10.0,1473.6,0,1617,S51616,0.0,0.0,0.0,0.0,0.0
L,297.8,307.8,1563,34.3,53,5614.120319744568,10.0,1817.9,0,1618,S51617,0.0,0.0,0.0,0.0,0.0
L,297.9,307.8,1286,59.5,55,8012.841502491007,9.900000000000034,3272.5,0,1619,S51618,0.0,0.0,0.0,0.0,0.0
L,297.9,307.7,1590,34.6,57,5761.052608152962,9.800000000000011,1972.2,0,1620,S51619,0.0,0.0,0.0,0.0,0.0
L,297.9,307.7,1492,43.7,59,6827.769921703865,9.800000000000011,2578.3,0,1621,S51620,0.0,0.0,0.0,0.0,0.0
L,297.7,307.6,1844,21.9,61,4228.960702850291,9.900000000000034,1335.9,0,1622,S51621,0.0,0.0,0.0,0.0,0.0
H,297.7,307.6,1538,38.3,63,6168.559063225606,9.900000000000034,2412.9,0,1623,S51622,0.0,0.0,0.0,0.0,0.0
L,297.7,307.6,1921,22.9,68,4606.716275493441,9.900000000000034,1557.1999999999998,0,1624,S51623,0.0,0.0,0.0,0.0,0.0
M,297.8,307.8,1310,57.9,70,7942.888706071073,10.0,4053.0,0,1625,S51624,0.0,0.0,0.0,0.0,0.0
L,297.9,307.8,1365,46.9,73,6704.001643127938,9.900000000000034,3423.7,0,1626,S51625,0.0,0.0,0.0,0.0,0.0
M,297.9,307.8,1303,59.3,75,8091.475566610358,9.900000000000034,4447.5,0,1627,S51626,0.0,0.0,0.0,0.0,0.0
L,297.9,307.8,1499,37.5,78,5886.559234663874,9.900000000000034,2925.0,0,1628,S51627,0.0,0.0,0.0,0.0,0.0
L,297.9,307.8,1451,38.2,80,5804.427530723526,9.900000000000034,3056.0,0,1629,S51628,0.0,0.0,0.0,0.0,0.0
M,297.9,307.9,1336,54.4,82,7610.864250488681,10.0,4460.8,0,1630,S51629,0.0,0.0,0.0,0.0,0.0
L,297.9,307.9,1412,44.5,85,6579.961093188702,10.0,3782.5,0,1631,S51630,0.0,0.0,0.0,0.0,0.0
L,298.0,308.0,1433,39.2,87,5882.48563618972,10.0,3410.4,0,1632,S51631,0.0,0.0,0.0,0.0,0.0
L,297.9,307.9,1426,43.6,89,6510.804166907679,10.0,3880.4,0,1633,S51632,0.0,0.0,0.0,0.0,0.0
L,297.9,307.9,1476,45.2,91,6986.399406759127,10.0,4113.2,0,1634,S51633,0.0,0.0,0.0,0.0,0.0
H,297.9,307.9,1406,58.5,93,8613.304578347135,10.0,5440.5,0,1635,S51634,0.0,0.0,0.0,0.0,0.0
L,297.8,307.8,1383,56.5,98,8182.749305172655,10.0,5537.0,0,1636,S51635,0.0,0.0,0.0,0.0,0.0
L,297.9,307.8,1505,37.3,100,5878.60053327478,9.900000000000034,3730.0,0,1637,S51636,0.0,0.0,0.0,0.0,0.0
L,297.9,307.8,1665,33.9,102,5910.749498096516,9.900000000000034,3457.8,0,1638,S51637,0.0,0.0,0.0,0.0,0.0
L,297.9,307.8,1397,45.0,104,6583.207405597411,9.900000000000034,4680.0,0,1639,S51638,0.0,0.0,0.0,0.0,0.0
M,297.9,307.8,1450,43.5,106,6605.19855417254,9.900000000000034,4611.0,0,1640,S51639,0.0,0.0,0.0,0.0,0.0
L,298.0,307.8,1567,36.4,109,5973.089168319249,9.800000000000011,3967.6,0,1641,S51640,0.0,0.0,0.0,0.0,0.0
M,298.0,308.0,1555,37.0,111,6025.051110809625,10.0,4107.0,0,1642,S51641,0.0,0.0,0.0,0.0,0.0
H,298.0,307.8,1588,35.4,114,5886.841978002698,9.800000000000011,4035.6,0,1643,S51642,0.0,0.0,0.0,0.0,0.0
L,298.0,307.8,1453,37.7,119,5736.349217920235,9.800000000000011,4486.3,0,1644,S51643,0.0,0.0,0.0,0.0,0.0
L,298.0,307.8,1622,33.3,121,5656.186245376136,9.800000000000011,4029.3,0,1645,S51644,0.0,0.0,0.0,0.0,0.0
L,297.9,307.8,1538,38.5,123,6200.770859900414,9.900000000000034,4735.5,0,1646,S51645,0.0,0.0,0.0,0.0,0.0
M,297.9,307.7,1527,42.8,125,6844.022427698435,9.800000000000011,5350.0,0,1647,S51646,0.0,0.0,0.0,0.0,0.0
L,297.8,307.8,1761,28.9,128,5329.492025329333,10.0,3699.2,0,1648,S51647,0.0,0.0,0.0,0.0,0.0
L,297.9,307.8,1373,50.2,130,7217.767233720502,9.900000000000034,6526.0,0,1649,S51648,0.0,0.0,0.0,0.0,0.0
H,298.0,307.9,1482,37.8,132,5866.358793901292,9.899999999999975,4989.599999999999,0,1650,S51649,0.0,0.0,0.0,0.0,0.0
M,298.0,307.9,1417,51.0,137,7567.782543232452,9.899999999999975,6987.0,0,1651,S51650,0.0,0.0,0.0,0.0,0.0
L,298.0,307.8,1414,51.7,140,7655.412034316584,9.800000000000011,7238.0,0,1652,S51651,0.0,0.0,0.0,0.0,0.0
H,297.9,307.8,1635,34.0,142,5821.371187101887,9.900000000000034,4828.0,0,1653,S51652,0.0,0.0,0.0,0.0,0.0
L,298.0,307.8,1386,57.3,147,8316.612568142114,9.800000000000011,8423.1,0,1654,S51653,0.0,0.0,0.0,0.0,0.0
L,298.2,308.1,1379,62.3,149,8996.652185913674,9.900000000000034,9282.7,0,1655,S51654,0.0,0.0,0.0,0.0,0.0
M,298.2,308.0,1577,35.9,151,5928.6356322709535,9.800000000000011,5420.9,0,1656,S51655,0.0,0.0,0.0,0.0,0.0
L,298.2,308.1,1532,42.5,154,6818.303255841047,9.900000000000034,6545.0,0,1657,S51656,0.0,0.0,0.0,0.0,0.0
M,298.1,308.0,1374,48.8,156,7021.585244479331,9.899999999999975,7612.799999999999,0,1658,S51657,0.0,0.0,0.0,0.0,0.0
H,298.1,308.0,1570,35.3,159,5803.673548486664,9.899999999999975,5612.7,0,1659,S51658,0.0,0.0,0.0,0.0,0.0
L,298.1,308.0,1697,31.0,164,5508.992157579942,9.899999999999975,5084.0,0,1660,S51659,0.0,0.0,0.0,0.0,0.0
L,298.2,308.0,1499,44.1,166,6922.593659964716,9.800000000000011,7320.6,0,1661,S51660,0.0,0.0,0.0,0.0,0.0
M,298.2,308.0,1411,47.2,168,6974.251915165244,9.800000000000011,7929.6,0,1662,S51661,0.0,0.0,0.0,0.0,0.0
H,298.2,307.9,1462,45.5,171,6966.062830314888,9.699999999999989,7780.5,0,1663,S51662,0.0,0.0,0.0,0.0,0.0
M,298.1,307.9,1759,28.6,176,5268.178608706772,9.799999999999956,5033.6,0,1664,S51663,0.0,0.0,0.0,0.0,0.0
L,298.2,308.0,1535,38.0,179,6108.3033161297535,9.800000000000011,6802.0,0,1665,S51664,0.0,0.0,0.0,0.0,0.0
H,298.2,307.9,1491,39.7,181,6198.645048871485,9.699999999999989,7185.700000000001,0,1666,S51665,0.0,0.0,0.0,0.0,0.0
L,298.2,307.9,1551,36.0,186,5847.132246861323,9.699999999999989,6696.0,0,1667,S51666,0.0,0.0,0.0,0.0,0.0
L,298.2,307.9,1769,27.2,188,5038.779513141645,9.699999999999989,5113.599999999999,0,1668,S51667,0.0,0.0,0.0,0.0,0.0
L,298.2,307.9,1551,34.1,190,5538.533600499199,9.699999999999989,6479.0,0,1669,S51668,0.0,0.0,0.0,0.0,0.0
L,298.2,307.9,1544,31.4,192,5076.981279809296,9.699999999999989,6028.799999999999,0,1670,S51669,0.0,0.0,0.0,0.0,0.0
L,298.2,307.8,1528,31.1,194,4976.366539090329,9.600000000000025,6033.400000000001,0,1671,S51670,0.0,0.0,0.0,0.0,0.0
L,298.1,307.9,1614,35.8,196,6050.833114520085,9.799999999999956,7016.799999999999,0,1672,S51671,0.0,0.0,0.0,0.0,0.0
L,298.1,307.8,1432,49.8,198,7467.942728701369,9.699999999999989,9860.4,0,1673,S51672,0.0,0.0,0.0,0.0,0.0
M,298.1,307.8,1384,43.7,200,6333.534565441119,9.699999999999989,8740.0,0,1674,S51673,0.0,0.0,0.0,0.0,0.0
L,298.1,307.8,1540,37.8,203,6095.946385025634,9.699999999999989,7673.4,0,1675,S51674,0.0,0.0,0.0,0.0,0.0
L,298.0,307.7,1407,43.9,205,6468.256530402561,9.699999999999989,8999.5,0,1676,S51675,0.0,0.0,0.0,0.0,0.0
H,297.9,307.6,1418,43.0,207,6385.182348666135,9.700000000000044,8901.0,0,1677,S51676,0.0,0.0,0.0,0.0,0.0
M,297.9,307.5,1647,30.8,212,5312.181849808054,9.600000000000025,6529.6,0,1678,S51677,0.0,0.0,0.0,0.0,0.0
L,298.0,307.5,1644,32.8,215,5646.824299268437,9.5,7051.999999999999,0,1679,S51678,0.0,0.0,0.0,0.0,0.0
L,298.0,307.5,1792,27.9,217,5235.652652766605,9.5,6054.299999999999,0,1680,S51679,0.0,0.0,0.0,0.0,0.0
M,297.9,307.4,1610,34.6,219,5833.518678695767,9.5,7577.400000000001,0,1681,S51680,0.0,0.0,0.0,0.0,0.0
M,297.8,307.3,1804,26.0,222,4911.775394132522,9.5,5772.0,0,1682,S51681,0.0,0.0,0.0,0.0,0.0
H,297.9,307.4,1604,36.1,225,6063.734588350827,9.5,8122.5,1,1683,S51682,0.0,0.0,1.0,0.0,0.0
M,297.9,307.4,1403,52.8,0,7757.471907656203,9.5,0.0,0,1684,S51683,0.0,0.0,0.0,0.0,0.0
L,297.8,307.3,1438,44.5,3,6701.121849862148,9.5,133.5,0,1685,S51684,0.0,0.0,0.0,0.0,0.0
L,297.9,307.3,1824,26.3,5,5023.532316796222,9.400000000000034,131.5,0,1686,S51685,0.0,0.0,0.0,0.0,0.0
H,297.9,307.3,1663,28.7,7,4998.074944326634,9.400000000000034,200.9,0,1687,S51686,0.0,0.0,0.0,0.0,0.0
L,297.9,307.3,1502,36.7,12,5772.508949363053,9.400000000000034,440.4,0,1688,S51687,0.0,0.0,0.0,0.0,0.0
L,297.9,307.4,1606,35.5,14,5970.387398637163,9.5,497.0,0,1689,S51688,0.0,0.0,0.0,0.0,0.0
L,297.9,307.5,1561,37.7,16,6162.726172865442,9.600000000000025,603.2,0,1690,S51689,0.0,0.0,0.0,0.0,0.0
M,297.9,307.4,1435,42.9,18,6446.705204798936,9.5,772.1999999999999,0,1691,S51690,0.0,0.0,0.0,0.0,0.0
L,297.9,307.5,1602,38.3,21,6425.248126974916,9.600000000000025,804.3,0,1692,S51691,0.0,0.0,0.0,0.0,0.0
M,298.1,307.6,1764,27.7,23,5116.900450460912,9.5,637.1,0,1693,S51692,0.0,0.0,0.0,0.0,0.0
H,298.0,307.5,1683,27.8,26,4899.5650706855695,9.5,722.8000000000001,0,1694,S51693,0.0,0.0,0.0,0.0,0.0
L,298.0,307.5,1618,35.2,31,5964.167045183055,9.5,1091.2,0,1695,S51694,0.0,0.0,0.0,0.0,0.0
L,298.0,307.6,1509,41.6,33,6573.719795783571,9.600000000000025,1372.8,0,1696,S51695,0.0,0.0,0.0,0.0,0.0
L,297.9,307.6,1550,39.0,35,6330.309196983433,9.700000000000044,1365.0,0,1697,S51696,0.0,0.0,0.0,0.0,0.0
M,297.9,307.6,1519,44.0,37,6999.0495531775805,9.700000000000044,1628.0,0,1698,S51697,0.0,0.0,0.0,0.0,0.0
L,297.9,307.6,1481,38.0,40,5893.418378624212,9.700000000000044,1520.0,0,1699,S51698,0.0,0.0,0.0,0.0,0.0
L,298.1,307.7,1289,48.3,42,6519.715818068361,9.599999999999966,2028.6,0,1700,S51699,0.0,0.0,0.0,0.0,0.0
M,298.0,307.6,1844,23.8,44,4595.856836887532,9.600000000000025,1047.2,0,1701,S51700,0.0,0.0,0.0,0.0,0.0
L,298.0,307.7,1479,42.5,47,6582.422007434015,9.699999999999989,1997.5,0,1702,S51701,0.0,0.0,0.0,0.0,0.0
L,298.0,307.7,1430,47.3,49,7083.139516538668,9.699999999999989,2317.7,0,1703,S51702,0.0,0.0,0.0,0.0,0.0
M,298.1,307.8,1636,36.7,51,6287.499761090517,9.699999999999989,1871.7,0,1704,S51703,0.0,0.0,0.0,0.0,0.0
M,298.1,307.8,1503,44.7,54,7035.502499934734,9.699999999999989,2413.8,0,1705,S51704,0.0,0.0,0.0,0.0,0.0
M,298.1,307.8,1608,32.6,57,5489.493339176662,9.699999999999989,1858.2,0,1706,S51705,0.0,0.0,0.0,0.0,0.0
L,298.2,307.8,1521,42.9,60,6833.058269337406,9.600000000000025,2574.0,0,1707,S51706,0.0,0.0,0.0,0.0,0.0
L,298.2,307.8,1439,41.6,62,6268.775868875121,9.600000000000025,2579.2000000000003,0,1708,S51707,0.0,0.0,0.0,0.0,0.0
L,298.2,307.8,1627,31.5,64,5366.939809760123,9.600000000000025,2016.0,0,1709,S51708,0.0,0.0,0.0,0.0,0.0
L,298.2,307.8,1749,26.1,66,4780.341629481837,9.600000000000025,1722.6,0,1710,S51709,0.0,0.0,0.0,0.0,0.0
L,298.2,307.8,1530,35.9,68,5751.941989457552,9.600000000000025,2441.2,0,1711,S51710,0.0,0.0,0.0,0.0,0.0
L,298.2,307.8,1355,51.3,70,7279.22725800023,9.600000000000025,3591.0,0,1712,S51711,0.0,0.0,0.0,0.0,0.0
L,298.3,307.9,1551,33.8,72,5489.80749844202,9.599999999999966,2433.6,0,1713,S51712,0.0,0.0,0.0,0.0,0.0
L,298.2,307.8,1515,46.7,74,7408.97503459349,9.600000000000025,3455.8,0,1714,S51713,0.0,0.0,0.0,0.0,0.0
L,298.2,307.8,1388,48.6,76,7064.0595771558665,9.600000000000025,3693.6,0,1715,S51714,0.0,0.0,0.0,0.0,0.0
L,298.2,307.8,1585,34.6,78,5742.936090517262,9.600000000000025,2698.8,0,1716,S51715,0.0,0.0,0.0,0.0,0.0
L,298.1,307.7,1523,37.7,80,6012.704651681018,9.599999999999966,3016.0,0,1717,S51716,0.0,0.0,0.0,0.0,0.0
L,298.2,307.6,1369,54.5,82,7813.193289355376,9.400000000000034,4469.0,0,1718,S51717,0.0,0.0,0.0,0.0,0.0
M,298.2,307.7,1681,31.0,84,5457.05115904059,9.5,2604.0,0,1719,S51718,0.0,0.0,0.0,0.0,0.0
L,298.2,307.7,1503,38.3,87,6028.182231487703,9.5,3332.1,0,1720,S51719,0.0,0.0,0.0,0.0,0.0
L,298.2,307.7,1459,44.5,89,6798.98246102147,9.5,3960.5,0,1721,S51720,0.0,0.0,0.0,0.0,0.0
L,298.2,307.7,1688,32.4,91,5727.249071200336,9.5,2948.4,0,1722,S51721,0.0,0.0,0.0,0.0,0.0
M,298.2,307.7,1952,21.6,93,4415.31997906124,9.5,2008.8,0,1723,S51722,0.0,0.0,0.0,0.0,0.0
L,298.2,307.8,2029,19.9,96,4228.280024442014,9.600000000000025,1910.4,0,1724,S51723,0.0,0.0,0.0,0.0,0.0
M,298.3,307.8,1457,52.5,98,8010.275868490575,9.5,5145.0,0,1725,S51724,0.0,0.0,0.0,0.0,0.0
M,298.3,307.8,1392,50.4,101,7346.802915978946,9.5,5090.4,0,1726,S51725,0.0,0.0,0.0,0.0,0.0
L,298.3,307.8,1906,22.1,104,4411.068357003382,9.5,2298.4,0,1727,S51726,0.0,0.0,0.0,0.0,0.0
M,298.3,307.7,1602,33.4,106,5603.218993236612,9.399999999999975,3540.4,0,1728,S51727,0.0,0.0,0.0,0.0,0.0
L,298.3,307.7,1465,49.4,109,7578.673397764897,9.399999999999975,5384.599999999999,0,1729,S51728,0.0,0.0,0.0,0.0,0.0
M,298.3,307.7,1439,43.8,111,6600.29766963294,9.399999999999975,4861.799999999999,0,1730,S51729,0.0,0.0,0.0,0.0,0.0
M,298.3,307.8,1330,55.4,114,7715.960996726772,9.5,6315.599999999999,0,1731,S51730,0.0,0.0,0.0,0.0,0.0
M,298.3,307.9,1485,42.0,117,6531.37112681318,9.599999999999966,4914.0,0,1732,S51731,0.0,0.0,0.0,0.0,0.0
H,298.4,307.9,1700,28.2,120,5020.265060436489,9.5,3384.0,0,1733,S51732,0.0,0.0,0.0,0.0,0.0
L,298.4,308.0,1515,42.8,125,6790.238361468979,9.600000000000025,5350.0,0,1734,S51733,0.0,0.0,0.0,0.0,0.0
M,298.5,308.1,1501,39.2,127,6161.626615436686,9.600000000000025,4978.400000000001,0,1735,S51734,0.0,0.0,0.0,0.0,0.0
L,298.4,308.0,1380,47.6,130,6878.831274300212,9.600000000000025,6188.0,0,1736,S51735,0.0,0.0,0.0,0.0,0.0
L,298.4,307.9,1544,35.9,132,5804.574138380693,9.5,4738.8,0,1737,S51736,0.0,0.0,0.0,0.0,0.0
L,298.4,307.9,1743,27.3,134,4982.974355638378,9.5,3658.2,0,1738,S51737,0.0,0.0,0.0,0.0,0.0
H,298.4,307.9,1948,21.4,136,4365.47337562428,9.5,2910.4,0,1739,S51738,0.0,0.0,0.0,0.0,0.0
H,298.5,307.9,1260,54.2,141,7151.521516631806,9.399999999999975,7642.200000000001,0,1740,S51739,0.0,0.0,0.0,0.0,0.0
M,298.5,307.9,1640,33.1,146,5684.607186915611,9.399999999999975,4832.6,0,1741,S51740,0.0,0.0,0.0,0.0,0.0
